1.41421	1.29969	1.01145
2.82843	1.44121	0.312175
4.24264	1.46202	0.0707596
5.65685	1.52029	0.0790843
7.07107	1.7076	0.187305
8.48528	1.59105	-0.062435
9.89949	1.50364	-0.0790843
11.3137	1.44537	-0.0790843
12.7279	1.45369	-0.012487
14.1421	1.44537	0.0457856
15.5563	1.5744	0.0957336
16.9706	1.57856	0.00416233
18.3848	1.48283	-0.0790843
19.799	1.64932	0.129032
21.2132	1.76587	0.137357
22.6274	1.90323	0.137357
24.0416	2.05307	0.129032
25.4558	1.93652	-0.0790843
26.8701	1.95734	0.00416233
28.2843	2.05307	0.0957336
29.6985	2.06556	0.0457856
31.1127	2.10718	-0.012487
32.5269	2.00728	-0.0790843
33.9411	1.90739	-0.0790843
35.3553	1.85328	-0.062435
36.7696	2.09469	0.187305
38.1838	2.17378	0.0790843
39.598	2.26535	0.0707596
41.0122	2.62747	0.312175
42.4264	3.80957	1.01145
