1.41421	1.22477	0.961498
2.82843	1.45369	0.42872
4.24264	1.65765	0.228928
5.65685	1.86993	0.187305
7.07107	2.1155	0.270552
8.48528	2.22373	0.145682
9.89949	2.41103	0.112383
11.3137	2.58585	0.19563
12.7279	2.62747	0.0874089
14.1421	2.62331	0.00416233
15.5563	2.81061	0.129032
16.9706	2.73985	-0.0457856
18.3848	2.48595	-0.187305
19.799	2.46514	-0.062435
21.2132	2.45265	-0.012487
22.6274	2.44017	-0.012487
24.0416	2.37773	-0.062435
25.4558	2.1488	-0.187305
26.8701	2.16961	-0.0457856
28.2843	2.32362	0.129032
29.6985	2.26951	0.00416233
31.1127	2.36524	0.0874089
32.5269	2.60666	0.19563
33.9411	2.73985	0.112383
35.3553	2.81061	0.145682
36.7696	3.11863	0.270552
38.1838	3.33091	0.187305
39.598	3.53486	0.228928
41.0122	3.98855	0.42872
42.4264	5.14984	0.961498
